Id;Default
605;ModuloActPos:
1434;ModuloSetPos:
199;Monitoring
3624;MotorT. OID
878;MoveAbs
55;Mover
910;Mover Count
1733;Mover count
3670;Mover Detected
1204;Mover Detection
2092;Mover Distance
3013;Mover Expected
1837;Mover Frozen Error Acitvated
1275;Mover Height
1363;Mover ID
1570;Mover online Update Cyc
209;Mover Overview
1486;Mover State
1381;Mover Type
1923;Mover Width
335;Mover1Detection
348;Mover:
260;Mover: %.2f /
1364;Mover: %2.0d /
458;Mover: %2.0f /
1246;Mover: %2.f /
248;Mover: %d
162;Mover: %d /
5401;MoverNo.
1116;MoverNr.
1234;MoverRedetection
892;Movers
1355;MoverType
689;Name
1445;Name (Com Obj)
2954;NC Axis
880;NC3
512;NcAxisId:
598;No Cycle Time Warning
2185;no drive adr.
872;No.
1998;North
137;Not Moving
1463;Nr.
48;Num Slaves Expected   :$T%3.2f
229;Num Tiles
882;Number
3656;Object ID
1912;ObjectID
2433;Offset
788;one axis$R$Nnot ready
3415;OP Mode
1100;OpenLoop$R$NMoveCurrent
4394;Openloop M. Current
2612;Operation Mode
136;Operational
2437;OperationMode
1594;Optimization
3987;Origin Trans.
3571;Overall Curr. Gain
2213;Overall Curr. Offset
1805;Overall Curr.Filter
1498;Overall Current
2293;Overall OverCurr. Hold
971;OverTemp
435;Overview
875;Parameter
57;Part
1829;Part Based Handling Activated
3088;Part Count
3305;Part count
2624;Part Info Items
2448;Part Nr
858;Part Overview
2289;Part Position
668;PartOID
1549;Parts
933;Payload
2349;PCB Temp
972;PDWatchdog
843;Polarity
472;Pos. Feedback Mode
455;Pos. Index
1266;Pos. Loop Filter
709;Pos. Loop Type
1047;Pos. Lowpass Filter
2234;Position
2311;Position Assign.
2677;Position Assignment
105;Position Based Error Forwarding
1870;Position Con.
770;Position Control
2601;Position Info
1200;Position Mode
1508;Position Noise
2184;Position Offset
857;Position Startup Mode
1123;PosLoopFilter$R$NArea:
1115;PosLoopFilter:
2303;ProcessingUnit
688;Prod. Code: 
2440;Product Code
46;Queued Frames Lost :$T%3.2f
45;Queued Frames Per Sec :$T%3.2f
416;Rand. Bandwidth
2832;Random Bandwidth
1211;Random Mode
2709;Random Seed
3194;Random Startup
1915;Random Startup Bandwidth
102;Refresh Time
5276;Refreshing CoE
687;Revision
1263;Sc. Module Count
2207;Sc.Module Count
2804;Scaling Factor
4116;SensorT. OID
84;Serial Nr.
684;Serial Number:
665;SetPosition:
1627;Setting
2481;Settings
492;Simulaion Offset
182;Simulation
1294;Simulation Mode
881;Slave Name
336;Slave:
807;SoftDrive
777;Softdrive
987;SoftDrive OID
1341;Sort Order
350;South
86;Standstill Sw. Time
1059;Startup ID
2044;Startup Part
2943;Startup Pos. Type
446;Startup Position
239;Station
286;Statorfield Compensation
141;Status
661;Structure
1499;Supply Current:
1365;SW %s
520;SW Version:
1255;Sync Task
227;SyncTask
939;Task Count
3388;Task OID
2138;TaskOID
1817;Tc3_XPlanarUtility
2187;Tc3_XtsUtility
1113;TcIO
1585;TcIo
2462;Teaching
3286;Teaching Changed
1045;Teaching Valid
2808;Tem. Error
1394;Tem. Warning
965;Temp
982;Temperature 1  :
324;Temperature 2  :
985;Temperature 3  : 
325;Temperature 4  :
1124;Text
1281;Tile
846;Tile1
387;Tile2
836;Tile3
1073;Tile4
1118;Tile5
1299;Tile6
148;Tiles
873;Time Stamp
1507;TimeStamp
1705;Tn
1889;Tn Area
4456;Tn Area Standstill
3035;Tn Standstill
183;Tn:
185;TnArea:
186;TnAreaStandstill:
184;TnStandstill:
2454;Total
919;Track
1854;Track Count
380;Track count
2148;Track Nr
2141;Track OID
959;Track Overview
2730;Track Position
157;Tracks
888;Tuning
89;TwinCAT
1191;TwinCAT version
2328;Type
1289;Type:
1152;Usage
298;Values
2390;Vel. Feedback Mode
3029;Vel. Filter Bandwidth
4136;Vel. Loop Type
879;Velo=1000, Acc= 5000, Dec=5000, Jerk=50000
820;Velocity Con.
193;Velocity Control
1520;Vendor Data
1053;Vendor ID
685;Vendor ID:
977;Warning
369;Warning Actual
2212;West
1903;X
1423;X On
360;XPlanar driver
1071;XPlanar Processing Unit
1744;XPU
1038;Xpu
1443;Xpu Overview
2029;Xpu:
722;Xpus
1253;XPUs
1213;XTS
2238;XTS Diagnosis
2363;XTS Driver 
401;XTS Environment
926;XTS Overview
347;XTS Processing Unit
3165;XTS Processing Unit - Module
1882;XTS Processing Unit - Mover
2602;XTS Processing Unit - Part
1771;XTS Processing Unit - Setting
2314;XTS Processing Unit - Track
3469;XTS Utility
1349;XTS:
247;XTS: %d
707;XTS: %d / 
781;Y
648;Y On
1329;Z
1408;Z On
1372;Z pos at enable
608;S
975;S Current
